,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,normalized_page_rank,probability,mass_equivalent,normalized_velocity,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk,Phase Factor,,Transmission frequency,,,m,x,,y,tunneling
26,970,DDonP3,private_account,bot,7/24/2021,https://twitter.com/DDonP3/status/1419030011734937600,304,-0.004862989,2.67E-80,7.43E-06,2,7.43E-06,1.02E-05,0.001382679,-0.288665095,0.003250324,2.97E-14,,5.71E-15,1.48E-18,1.04E-18,0.002453329,0.001382679,0.38,305.6688427,114.777203,,,7.03E-01,80,5.62E+01,56.60,28.29810811
27,940,takapirulainen,spammer,bot,7/18/2021,https://twitter.com/takapirulainen/status/1416800776492625924,297,0,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,2.90E-14,,5.58E-15,1.45E-18,1.02E-18,0,0.000179254,0.38,305.6688427,116.154186,,,7.03E-01,80,5.63E+01,56.66,28.32793103
28,742,sfbtears,spammer,bot,10/16/2021,https://twitter.com/sfbtears/status/1449453138558308354,265,-1.88E-05,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,2.59E-14,,4.98E-15,1.29E-18,9.09E-19,0.000728332,0.001195029,0.4,305.6688427,122.909084,,,7.05E-01,80,5.64E+01,56.77,28.38604651
29,974,NoSurrender200,other,bot,7/24/2021,https://twitter.com/NoSurrender200/status/1418988876908089353,249,-1.88E-05,1.15E-163,0,1,0,0,0.000179254,-0.400899587,0.000421381,2.43E-14,,4.68E-15,1.21E-18,8.54E-19,0,0.000179254,0.42,305.6688427,126.890973,,,7.06E-01,80,5.65E+01,56.88,28.44140496
30,967,texaspatriette,false (human account),human,7/24/2021,https://twitter.com/texaspatriette/status/1418976540927401987,210,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,2.05E-14,,3.94E-15,1.02E-18,7.21E-19,0.000728332,0.001195029,0.45,305.6688427,138.151922,,,7.07E-01,80,5.65E+01,57.00,28.4995098
31,819,ninskiberry,false (human account),human,7/19/2021,https://twitter.com/ninskiberry/status/1417226279192043523,196,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,1.91E-14,,3.68E-15,9.55E-19,6.73E-19,0.000728332,0.001195029,0.47,305.6688427,143.125553,,,7.05E-01,80,5.64E+01,56.85,28.42348168
32,836,moonbeam696,false (human account),human,7/21/2021,https://twitter.com/moonbeam696/status/1417958298121297921,195,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,1.90E-14,,3.66E-15,9.50E-19,6.69E-19,0.000728332,0.001195029,0.47,305.6688427,143.501705,,,7.04E-01,80,5.63E+01,56.81,28.40342105
33,834,AndersonPolaris,false (human account),human,7/21/2021,https://twitter.com/AndersonPolaris/status/1417902892896325632,191,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,1.87E-14,,3.59E-15,9.31E-19,6.55E-19,0.000728332,0.001195029,0.47,305.6688427,144.648209,,,7.04E-01,80,5.63E+01,56.75,28.37678303
34,938,Rac_helz,false (human account),human,7/18/2021,https://twitter.com/Rac_helz/status/1416800457029267461,189,0,2.63E-117,0,2,0,0,0.001195029,-0.306165842,0.002809207,1.85E-14,,3.55E-15,9.21E-19,6.49E-19,0.000728332,0.001195029,0.48,305.6688427,145.427989,,,7.05E-01,80,5.64E+01,56.85,28.42675353
35,1310,CobyJayJr43,spammer,bot,11/16/2021,https://twitter.com/CobyJayJr43/status/1460638108668633088,186,-0.004862989,3.39E-06,0.002054406,2,0.002054406,0.002667815,0.003615097,-0.080463982,0.008498169,1.82E-14,,3.49E-15,9.06E-19,6.38E-19,0.037667227,0.003615097,0.48,305.6688427,146.621672,,,7.04E-01,80,5.63E+01,56.82,28.40777042
