,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,mass_equivalent,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk
63,734,RockinTrump,self_declared,bot,8/21/2021,https://twitter.com/RockinTrump/status/1428912360027304002,64,-1.88E-05,1.23E-104,1.06E-06,2.00E+00,1.06E-06,1.34E-06,1.74E-03,6.25E-15,1.20E-15,3.12E-19,2.20E-19,1.46E-03,1.74E-03
64,961,zoogirl121,false (human account),human,7/26/2021,https://twitter.com/zoogirl121/status/1419721964512432142,57,0.00E+00,9.19E-66,1.17E-05,2.00E+00,1.17E-05,1.58E-05,1.32E-03,5.57E-15,1.07E-15,2.78E-19,1.96E-19,4.77E-03,1.32E-03
65,775,maatuska_t,false (human account),human,7/20/2021,https://twitter.com/maatuska_t/status/1417553542953504769,55,0.00E+00,1.23E-104,1.06E-06,2.00E+00,1.06E-06,1.34E-06,1.74E-03,5.37E-15,1.03E-15,2.68E-19,1.89E-19,1.46E-03,1.74E-03
66,830,YatesSaunders,false (human account),human,7/22/2021,https://twitter.com/YatesSaunders/status/1418079965564727303,49,-4.86E-03,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,4.79E-15,9.20E-16,2.39E-19,1.68E-19,0.00E+00,1.79E-04
67,903,bilks,false (human account),human,5/26/2021,https://twitter.com/bilks/status/1397464616620462080,48,0.00E+00,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,4.69E-15,9.01E-16,2.34E-19,1.65E-19,0.00E+00,1.79E-04
68,824,QWarrior18,false (human account),human,7/19/2021,https://twitter.com/QWarrior18/status/1417058833537585156,46,0.00E+00,2.60E-77,0.00E+00,2.00E+00,0.00E+00,0.00E+00,7.25E-04,4.49E-15,8.64E-16,2.24E-19,1.58E-19,2.75E-03,7.25E-04
69,823,MSkuggsida,false (human account),human,7/19/2021,https://twitter.com/MSkuggsida/status/1417084248457162754,45,0.00E+00,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,4.40E-15,8.45E-16,2.19E-19,1.54E-19,7.28E-04,1.20E-03
70,822,loveiswhereits2,false (human account),human,7/19/2021,https://twitter.com/loveiswhereits2/status/1417197879261810689,44,0.00E+00,2.63E-117,0.00E+00,2.00E+00,0.00E+00,0.00E+00,1.20E-03,4.30E-15,8.26E-16,2.14E-19,1.51E-19,7.28E-04,1.20E-03
71,818,BBCNews,spammer,bot,7/19/2021,https://twitter.com/BBCNews/status/1417247750224232452,42,-1.88E-05,1.15E-163,0.00E+00,1.00E+00,0.00E+00,0.00E+00,1.79E-04,4.10E-15,7.89E-16,2.05E-19,1.44E-19,0.00E+00,1.79E-04
72,698,BeverlyDHolmes,false (human account),human,8/6/2021,https://twitter.com/BeverlyDHolmes/status/1423510606116753414,41,1.78E-15,2.61E-96,3.19E-06,2.00E+00,3.19E-06,3.64E-06,2.29E-03,4.01E-15,7.70E-16,2.00E-19,1.41E-19,2.18E-03,2.29E-03
