,id,username,bot_type,user_type,origin_tweet_date,tweet_url,degree,node_entanglement,eigenvector_centrality,betweenness_centrality,clique_number,before_percolation,after_percolation,page_rank,mass_equivalent,energy_equivalent,critical_threshold_before_node_virality,critical_threshold_after_node_virality,closeness_centrality,random_walk
10,928,ella03787321,false (human account),human,2021-07-18,https://twitter.com/ella03787321/status/1416762143106555918,609,0.0,5.17781679093193e-90,6.370251773584265e-06,2,6.370251773584265e-06,6.873041958790769e-06,0.0028408016241874474,5.94929324500546e-14,1.1434349391235204e-14,2.9678219085841942e-18,2.089768089476444e-18,0.0029133284777858705,0.0028408016241874474
11,759,SpiritYah,false (human account),human,2021-07-20,https://twitter.com/SpiritYah/status/1417635090436349953,508,0.0,2.606824510543313e-96,3.1851258867921324e-06,2,3.1851258867921324e-06,3.6350145510126054e-06,0.0022922106430210767,4.962628848050532e-14,9.53801230007797e-15,2.4756215592130883e-18,1.7431891452447186e-18,0.0021849963583394027,0.0022922106430210767
12,906,Learningpods1,false (human account),human,2021-05-26,https://twitter.com/Learningpods1/status/1397405645264011266,446,0.0,4.60250381416173e-90,7.431960402514976e-06,2,7.431960402514976e-06,9.693759072126681e-06,0.002059517513394891,4.35695367368216e-14,8.373924184714124e-15,2.1734787704902314e-18,1.5304377141321745e-18,0.0026011861408802416,0.002059517513394891
13,1330,BrandonLesco1,false (human account),human,2021-11-09,https://twitter.com/BrandonLesco1/status/1458058598458789895,439,0.0,1.2952546822694658e-80,1.5925629433960662e-05,2,1.5925629433960662e-05,1.6197960693646126e-05,0.003937983586520187,4.288570992705085e-14,8.242494881366591e-15,2.139365874989263e-18,1.5064173912646287e-18,0.004369992716678805,0.003937983586520187
14,701,kawarren818,false (human account),human,2021-08-09,https://twitter.com/kawarren818/status/1424776418894958593,427,0.0,1.201298276011136e-70,3.822151064150559e-05,2,3.822151064150559e-05,3.733107314451659e-05,0.0055837565300193,4.17134353960153e-14,8.017187504199397e-15,2.080886625559033e-18,1.4652396949202655e-18,0.0065549890750182084,0.0055837565300193
15,766,haber_okuyorum1,false (human account),human,2021-07-20,https://twitter.com/haber_okuyorum1/status/1417614464107651081,416,0.0,1.3443483188537272e-73,2.9727841610059904e-05,2,2.9727841610059904e-05,2.9331836455169486e-05,0.005035165548852929,4.0638850409232705e-14,7.810655741796134e-15,2.0272806469146553e-18,1.4274934732712657e-18,0.005826656955571741,0.005035165548852929
16,1166,santa_tzu,spammer,bot,2021-05-26,https://twitter.com/santa_tzu/status/1397559140839563270,388,0.014491381115373514,0.0003714603430575403,0.0,2,0.0,0.0,0.0006510538472939952,3.7903543170149725e-14,7.284938528406008e-15,1.8908290649107837e-18,1.3314121818010841e-18,0.03623542882818247,0.0006510538472939952
17,1160,Yaocyou,spammer,bot,2021-05-26,https://twitter.com/Yaocyou/status/1397539621450354689,386,-0.004862988590572215,2.630277233391333e-117,0.0,2,0.0,0.0,0.0011950286806883367,3.7708164081643803e-14,7.247387298878143e-15,1.881082523339079e-18,1.324549232410357e-18,0.0007283321194464676,0.0011950286806883367
18,1159,JaneDoe89034155,spammer,bot,2021-05-26,https://twitter.com/JaneDoe89034155/status/1397647782450761732,384,-0.004862988590572215,1.1518135774686886e-163,0.0,1,0.0,0.0,0.00017925430210324997,3.7512784993137875e-14,7.209836069350276e-15,1.8713359817673737e-18,1.3176862830196295e-18,0.0,0.00017925430210324997
19,129,CobyJayJr42,false (human account),human,2021-10-05,https://twitter.com/CobyJayJr42/status/1445535381831577609,383,-3.447739452155929e-06,0.00033666290569530597,0.004863687229131586,2,0.004863687229131586,0.0072186413068274944,0.003956639619184176,3.7415095448884914e-14,7.191060454586345e-15,1.8664627109815215e-18,1.3142548083242663e-18,0.05069991550014084,0.003956639619184176
20,1154,mimosa_9th_,spammer,bot,2021-05-26,https://twitter.com/mimosa_9th_/status/1397592274276552707,374,-0.004862988590572215,2.630277233391333e-117,0.0,2,0.0,0.0,0.0011950286806883367,3.653588955060825e-14,7.022079921710948e-15,1.822603273908849e-18,1.2833715360659938e-18,0.0007283321194464676,0.0011950286806883367
21,778,DutchDL,false (human account),human,2021-07-21,https://twitter.com/DutchDL/status/1417771031964626944,370,0.0,1.2319226079122635e-104,1.0617086289307108e-06,2,1.0617086289307108e-06,1.344520995203876e-06,0.001743619661854707,3.614513137359639e-14,6.946977462655215e-15,1.8031101907654385e-18,1.2696456372845392e-18,0.0014566642388929353,0.001743619661854707
22,869,107devorah,false (human account),human,2021-07-17,https://twitter.com/107devorah/status/1416518060345892871,345,0.0,0.007202266525407336,0.0028687367153707806,2,0.0028687367153707806,0.0037006181296257816,0.00469550827849046,3.370289276727231e-14,6.477587093556889e-15,1.6812784211191249e-18,1.1838587699004485e-18,0.06355669269524253,0.00469550827849046
23,804,fuzzyface,false (human account),human,2021-07-19,https://twitter.com/fuzzyface/status/1417051749077053441,330,0.0,1.3443483188537272e-73,2.9727841610059904e-05,2,2.9727841610059904e-05,2.9331836455169486e-05,0.005035165548852929,3.2237549603477863e-14,6.195952872097895e-15,1.608179359331337e-18,1.1323866494699942e-18,0.005826656955571741,0.005035165548852929
24,943,LoveTahoe1,false (human account),human,2021-07-27,https://twitter.com/LoveTahoe1/status/1419831129612251138,309,0.0,2.787194441259614e-65,6.901106088049621e-05,2,6.901106088049621e-05,7.069583850376965e-05,0.0065888671535094066,3.0186069174165635e-14,5.801664962055301e-15,1.5058406728284338e-18,1.0603256808673584e-18,0.008067678861560871,0.0065888671535094066
25,753,deltazebedee1,false (human account),human,2021-07-21,https://twitter.com/deltazebedee1/status/1417673313493659651,306,0.0,1.964476734254619e-70,1.4863920805029952e-05,2,1.4863920805029952e-05,1.7462836678851774e-05,0.002779184010614726,2.9893000541406746e-14,5.745338117763502e-15,1.491220860470876e-18,1.0500312567812675e-18,0.0044610342316096134,0.002779184010614726
26,970,DDonP3,private_account,bot,2021-07-24,https://twitter.com/DDonP3/status/1419030011734937600,304,-0.004862988590573991,2.6666774077708026e-80,7.431960402514976e-06,2,7.431960402514976e-06,1.0201597767686788e-05,0.0013826789221878981,2.969762145290082e-14,5.7077868882356354e-15,1.4814743188991708e-18,1.0431683073905401e-18,0.0024533292444512593,0.0013826789221878981
27,940,takapirulainen,spammer,bot,2021-07-18,https://twitter.com/takapirulainen/status/1416800776492625924,297,0.0,1.1518135774686886e-163,0.0,1,0.0,0.0,0.00017925430210324997,2.901379464313008e-14,5.576357584888106e-15,1.4473614233982034e-18,1.019147984522995e-18,0.0,0.00017925430210324997
28,742,sfbtears,spammer,bot,2021-10-16,https://twitter.com/sfbtears/status/1449453138558308354,265,-1.8814378760723116e-05,2.630277233391333e-117,0.0,2,0.0,0.0,0.0011950286806883367,2.5887729227035253e-14,4.975537912442248e-15,1.291416758250922e-18,9.09340794271359e-19,0.0007283321194464676,0.0011950286806883367
29,974,NoSurrender200,other,bot,2021-07-24,https://twitter.com/NoSurrender200/status/1418988876908089353,249,-1.8814378760723116e-05,1.1518135774686886e-163,0.0,1,0.0,0.0,0.00017925430210324997,2.432469651898784e-14,4.675128076219319e-15,1.2134444256772811e-18,8.544371991455409e-19,0.0,0.00017925430210324997
30,967,texaspatriette,false (human account),human,2021-07-24,https://twitter.com/texaspatriette/status/1418976540927401987,210,0.0,2.630277233391333e-117,0.0,2,0.0,0.0,0.0011950286806883367,2.0514804293122274e-14,3.942879100425932e-15,1.0233868650290325e-18,7.2060968602636e-19,0.0007283321194464676,0.0011950286806883367
31,819,ninskiberry,false (human account),human,2021-07-19,https://twitter.com/ninskiberry/status/1417226279192043523,196,0.0,2.630277233391333e-117,0.0,2,0.0,0.0,0.0011950286806883367,1.914715067358079e-14,3.6800204937308704e-15,9.55161074027097e-19,6.725690402912695e-19,0.0007283321194464676,0.0011950286806883367
32,836,moonbeam696,false (human account),human,2021-07-21,https://twitter.com/moonbeam696/status/1417958298121297921,195,0.0,2.630277233391333e-117,0.0,2,0.0,0.0,0.0011950286806883367,1.9049461129327827e-14,3.661244878966937e-15,9.502878032412445e-19,6.691375655959057e-19,0.0007283321194464676,0.0011950286806883367
33,834,AndersonPolaris,false (human account),human,2021-07-21,https://twitter.com/AndersonPolaris/status/1417902892896325632,191,0.0,2.630277233391333e-117,0.0,2,0.0,0.0,0.0011950286806883367,1.8658702952315974e-14,3.586142419911205e-15,9.307947200978343e-19,6.554116668144512e-19,0.0007283321194464676,0.0011950286806883367
34,938,Rac_helz,false (human account),human,2021-07-18,https://twitter.com/Rac_helz/status/1416800457029267461,189,0.0,2.630277233391333e-117,0.0,2,0.0,0.0,0.0011950286806883367,1.846332386381005e-14,3.5485911903833396e-15,9.210481785261294e-19,6.485487174237241e-19,0.0007283321194464676,0.0011950286806883367
