,username,bot_type,node_entanglement,eigenvector_centrality,betweenness_centrality,closeness_centrality,clique_number,page_rank,random_walk
141,USATRUMPMAN1,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
142,Trump07,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
143,FrankLuntz,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
144,plnalways,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
145,WorldCOVID19,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
146,NBCNews,other,-3.45E-06,8.71E-105,0,0.000971109,2,0.000920733,0.000920733
147,dmdcash,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
148,bamafan246,self_declared,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
149,pfizer,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
150,BillOReilly,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
151,JNJGlobalHealth,self_declared,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
152,johnrobertsFox,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
153,Mov_again,spammer,0.001552031,1.15E-163,0,0,1,0.000179254,0.000179254
154,Jim_Jordan,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
155,BrendaLeeNY,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
156,WaveyWestcoast,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
157,getmoney_5469,private_account,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
158,LangmanVince,other,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
159,BlissTabitha,self_declared,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
160,Runnerson2nd,private_account,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
161,leslibless,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
162,SaraVic48153299,private_account,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
163,DeploraBRUISER,spammer,-3.45E-06,1.15E-163,0,0,1,0.000179254,0.000179254
164,craigsturf,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
165,NFL,self_declared,0.371661892,1.15E-163,0,0,1,0.000179254,0.000179254
166,KeithOlbermann,other,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
167,SeanFulce2040,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
168,carewiener,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
169,P8R1OT_2,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
170,PatriotSera,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
171,italia_patriot,private_account,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
172,BarbershopDR,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
173,sincitydragon,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
174,LdonneLibby,self_declared,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
175,GuntherEagleman,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
176,MTrevitch,other,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
177,Nancy76400574,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
178,larrybr81485483,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
179,HighWireTalk,other,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
180,DonnaB112275,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
181,DeannaBychich,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
182,Hirschwriter,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
183,RdgdStudio,spammer,-1.68E-05,1.15E-163,0,0,1,0.000179254,0.000179254
