,username,before_percolation,after_percolation,degree,change
938,nikoCSFB,0.0,0.0,0,no change
939,OANN,0.0,0.0,0,no change
940,R12Stl,0.0,0.0,0,no change
941,njphlaz,0.0,0.0,0,no change
942,VonWildebrand,0.0,0.0,0,no change
943,eva95316153,0.0,0.0,0,no change
944,Beachbard,0.0,0.0,0,no change
945,DrLiver,0.0,0.0,0,no change
959,Lillian_DJT2020,0.0,0.0,0,no change
946,Donna34514866,0.0,0.0,0,no change
947,SherryTrout,0.0,0.0,0,no change
958,robbysoave,0.0,0.0,0,no change
948,Ben_Adler89,0.0,0.0,0,no change
949,bpsbarry1,0.0,0.0,0,no change
957,traviswalke,0.0,0.0,0,no change
950,KalmLike_a_Bomb,0.0,0.0,0,no change
951,FullFrontalSamB,0.0,0.0,0,no change
956,CWillyWally,0.0,0.0,0,no change
952,RachelAxon,0.0,0.0,0,no change
955,AshaRangappa_,0.0,0.0,0,no change
935,MichaelDKarras,0.0,0.0,0,no change
962,isaque31,0.0,0.0,0,no change
920,AXECOP,0.0,0.0,0,no change
963,Ceo_Branding,0.0,0.0,0,no change
921,wherearentyou,0.0,0.0,0,no change
922,NBSaphierMD,0.0,0.0,0,no change
923,janelleybelley3,0.0,0.0,0,no change
924,BobRae48,0.0,0.0,0,no change
975,kksheld,0.0,0.0,0,no change
974,prosser_timothy,0.0,0.0,0,no change
925,NotAssangesCat,0.0,0.0,0,no change
926,ggreenwald,0.0,0.0,0,no change
973,buckingfankers,0.0,0.0,0,no change
971,JaneyCMJ,0.0,0.0,0,no change
927,kvegasgrl,0.0,0.0,0,no change
928,SteveDoocy,0.0,0.0,0,no change
970,KeithDB80,0.0,0.0,0,no change
930,jpporter,0.0,0.0,0,no change
931,JReinerMD,0.0008238858960502316,0.0012597244260477525,0,increase
932,tuxlemons,0.0,0.0,0,no change
933,T_S_P_O_O_K_Y,0.0,0.0,0,no change
969,gorskon,0.0,0.0,0,no change
968,ketchme2,0.0,0.0,0,no change
967,tenniseric32597,0.0,0.0,0,no change
966,Patterico,0.0,0.0,0,no change
965,mtaibbi,0.0,0.0,0,no change
964,LightnUpFransis,0.0,0.0,0,no change
892,lisamjo,0.0,0.0,0,no change
0,ABC,0.0,0.0,0,no change
891,JustinNoordyke,0.0,0.0,0,no change
765,TheJordanRachel,0.0,0.0,0,no change
774,RichardL73,0.0,0.0,0,no change
773,RaguelnJustice,0.0,0.0,0,no change
772,INDOE_RO,0.0,0.0,0,no change
771,KyleFadough,0.0,0.0,0,no change
770,HertogRe,0.0,0.0,0,no change
769,AdamMacPhoto,0.0,0.0,0,no change
768,cscarroll2,0.0,0.0,0,no change
767,KatiePavlich,0.0,0.0,0,no change
766,JaniceDean,0.0,0.0,0,no change
764,labmom22,0.0,0.0,0,no change
890,PeterEnns3,0.0,0.0,0,no change
763,BlytzStocks,0.0,0.0,0,no change
762,Blackspice82_,0.0,0.0,0,no change
761,SomeInternetRa2,0.0,0.0,0,no change
760,RealJoelSmalley,0.0,0.0,0,no change
759,jakeeswoodhouse,0.0,0.0,0,no change
758,lyle_solomon,0.0,0.0,0,no change
757,Britt32311,0.0,0.0,0,no change
756,yfeldblum,0.0,0.0,0,no change
755,JulieSc91981110,0.0,0.0,0,no change
775,MarkIrwin62,0.0,0.0,0,no change
776,draditinerurkar,0.0,0.0,0,no change
777,evolnemesis,0.0,0.0,0,no change
778,kirstiealley,0.0,0.0,0,no change
797,pubman51,0.0,0.0,0,no change
796,runnermargie,0.0,0.0,0,no change
795,poettreevines,0.0,0.0,0,no change
794,PFeeneyND,0.0,0.0,0,no change
793,natturnerx65,0.0,0.0,0,no change
792,PieperLee,0.0,0.0,0,no change
791,doctornick_99,0.0,0.0,0,no change
790,KJT40941000,0.0,0.0,0,no change
789,therealphwu,0.0,0.0,0,no change
788,donwinslow,0.0,0.0,0,no change
787,ObolerfanII,0.0,0.0,0,no change
786,dewaaier112,0.0,0.0,0,no change
785,Yeahthatsrigh18,0.0,0.0,0,no change
784,NathalieDecuyp2,0.0,0.0,0,no change
783,AnniseParker,0.0,0.0,0,no change
782,Libby3X,0.0,0.0,0,no change
781,loma_rae,0.0,0.0,0,no change
780,mikey0256,0.0,0.0,0,no change
779,LisaMBrodeur,0.0,0.0,0,no change
754,loranger_steve,0.0,0.0,0,no change
753,Hurger33,0.0,0.0,0,no change
752,TheSportsminn,0.0,0.0,0,no change
729,valencj95,0.0,0.0,0,no change
727,SaltyFlGrl,0.0,0.0,0,no change
726,vaccinesSaveUsa,0.0,0.0,0,no change
724,Tutu1082,0.0,0.0,0,no change
723,HRHBethany,0.0,0.0,0,no change
722,Leftylockdowns1,0.0,0.0,0,no change
721,IanBarr72190592,0.0,0.0,0,no change
720,D321Debbie,0.0,0.0,0,no change
719,bkFreedomForAll,0.0,0.0,0,no change
718,DPJHodges,0.0,0.0,0,no change
717,Beyotch_Pudding,0.0,0.0,0,no change
716,jerankin,0.0,0.0,0,no change
715,Mayella09476043,0.0,0.0,0,no change
714,nonfucksgiven,0.0,0.0,0,no change
713,arkmedic,0.02844211246042481,0.04672448308815851,0,increase
712,cobraclutch420,0.0,0.0,0,no change
711,NeilClark66,0.0,0.0,0,no change
710,HegKong,0.0,0.0,0,no change
709,Parker5Max,0.0,0.0,0,no change
708,DogmomDem,0.0,0.0,0,no change
728,YoloJenkins3,0.0,0.0,0,no change
730,Virtual_Prof,0.0,0.0,0,no change
751,TrickyFromNJ,0.0,0.0,0,no change
731,deBeaumontFndtn,0.0,0.0,0,no change
750,dioncini,0.0,0.0,0,no change
749,JoJoFromJerz,0.0,0.0,0,no change
748,TomiLahren,0.0,0.0,0,no change
747,NiftyNewHandle,0.0,0.0,0,no change
746,4everNeverTrump,0.0,0.0,0,no change
745,victoriastudio2,0.0,0.0,0,no change
744,GOPLeader,0.0,0.0,0,no change
743,JiQed,0.0,0.0,0,no change
742,Carol23495278,0.0,0.0,0,no change
741,moderna_tx,0.0,0.0,0,no change
740,Sen_JoeManchin,0.0,0.0,0,no change
739,Muzzlesgirl_OH,0.0,0.0,0,no change
738,Rhianna979,0.0,0.0,0,no change
737,MommyBanter,0.0,0.0,0,no change
736,Dan_Hope,0.0,0.0,0,no change
735,BuckeyeWDW,0.0,0.0,0,no change
734,buckeye4nhtown,0.0,0.0,0,no change
733,OhioState,0.0,0.0,0,no change
732,Alissa_Moen,0.0,0.0,0,no change
798,grega415,0.0,0.0,0,no change
799,MommaCarlu,0.0,0.0,0,no change
800,reeortiz,0.0,0.0,0,no change
868,EvaMeye17708673,0.0,0.0,0,no change
866,ImanSain,0.0,0.0,0,no change
865,orlandocuffs,0.0,0.0,0,no change
864,Schwartz29Doug,0.0,0.0,0,no change
863,PatriotJoey,0.0,0.0,0,no change
862,gopbs,0.0,0.0,0,no change
861,mattncarole,0.0,0.0,0,no change
860,FierceCheerMom,0.0,0.0,0,no change
859,OfConnell,0.0,0.0,0,no change
858,smyeagley,0.0,0.0,0,no change
857,Adan_040,0.0,0.0,0,no change
856,rperkins8503,0.0,0.0,0,no change
855,BachelorJanice,0.0,0.0,0,no change
854,hateisevil,0.0,0.0,0,no change
853,DomainFact,0.0,0.0,0,no change
852,GVeritatis,0.0,0.0,0,no change
851,cbjw1961,0.0,0.0,0,no change
850,ForHangovers,0.0,0.0,0,no change
849,willowrain44,0.0,0.0,0,no change
848,monashouse,0.0,0.0,0,no change
867,Marc5758,0.0,0.0,0,no change
869,gotgiveawayinfo,0.0,0.0,0,no change
846,America24765748,0.0,0.0,0,no change
870,BlakeElvira,0.0,0.0,0,no change
889,robertcoggins,0.0,0.0,0,no change
888,ChrisTh55003384,0.0,0.0,0,no change
887,Algofriends,0.0,0.0,0,no change
886,RetailRosie,0.0,0.0,0,no change
885,Vlahkmaak,0.0,0.0,0,no change
884,Francis_Hoar,0.0,0.0,0,no change
1008,AlexBerenson,0.0,0.0,0,no change
882,TownsendSnyder,0.0,0.0,0,no change
881,tbarrongentry,0.0,0.0,0,no change
880,arlene_muhammad,0.0,0.0,0,no change
879,vicky_arterburn,0.0,0.0,0,no change
878,Chill100K,0.0,0.0,0,no change
877,MickMadlee,0.0,0.0,0,no change
876,Candice11845161,0.0,0.0,0,no change
875,indianamachine,0.0,0.0,0,no change
874,OmShanti1504,0.0,0.0,0,no change
873,OCA_Mens,0.0,0.0,0,no change
872,gandawahine,0.0,0.0,0,no change
871,wordmanken,0.0,0.0,0,no change
847,bookworm101010,0.0,0.0,0,no change
845,CalmTrailblazer,0.0,0.0,0,no change
801,odin_wrath,0.0,0.0,0,no change
822,LornArtcraft,0.0,0.0,0,no change
820,thewalkinfred,0.0,0.0,0,no change
819,TimJ3148,0.0,0.0,0,no change
818,phweber1,0.0,0.0,0,no change
817,KnockedSouth,0.0,0.0,0,no change
816,Ken22691813,0.0,0.0,0,no change
815,simulanics,0.0,0.0,0,no change
814,jujuwren_jenny,0.0,0.0,0,no change
813,angelrn37,0.0,0.0,0,no change
812,corahbrooke,0.0,0.0,0,no change
811,usa_maine_usa,0.0,0.0,0,no change
810,Oldgloryfighter,0.0,0.0,0,no change
809,cat_bair,0.0,0.0,0,no change
808,bunnycanhop,0.0,0.0,0,no change
807,SnowGoddessLor1,0.0,0.0,0,no change
806,NIZOLIE,0.0,0.0,0,no change
805,MirabelloChris,0.0,0.0,0,no change
804,GetInTheGreen,0.0,0.0,0,no change
803,ejayjones492,0.0,0.0,0,no change
802,RapSheet,0.0,0.0,0,no change
821,BobSmit21221700,0.0,0.0,0,no change
823,ArmywifeDi,0.0,0.0,0,no change
844,SoxChic7,0.0,0.0,0,no change
824,Jennife66875131,0.0,0.0,0,no change
843,H2H32004,0.0,0.0,0,no change
842,navyjax2,0.0,0.0,0,no change
841,wil99224839,0.0,0.0,0,no change
840,jcams11,0.0,0.0,0,no change
839,TruthSe04504704,0.0,0.0,0,no change
838,sawyer_jayne,0.0,0.0,0,no change
837,SThing,0.0,0.0,0,no change
836,GerhardtPorras,0.0,0.0,0,no change
835,DrewSch29552274,0.0,0.0,0,no change
834,WillN0tC0mply,0.0,0.0,0,no change
833,PeterJHameline,0.0,0.0,0,no change
832,FloreFlos,0.0,0.0,0,no change
831,imheavyweight,0.0,0.0,0,no change
830,Georgehn1,0.0,0.0,0,no change
829,MC18476241,0.0,0.0,0,no change
828,jennydemaria,0.0,0.0,0,no change
827,TartanKino,0.0,0.0,0,no change
826,Jess12314246855,0.0,0.0,0,no change
825,mariazak18,0.0,0.0,0,no change
883,pjhlaw,0.0,0.0,0,no change
1043,MissVs0000,0.0,0.0,0,no change
1010,BizarreProducts,0.0,0.0,0,no change
1263,dorismyoung,0.0,0.0,0,no change
1270,stevebob4212,0.0,0.0,0,no change
1269,PaulaLile,0.0,0.0,0,no change
1268,RamonSalazar_95,0.0,0.0,0,no change
1267,MyPresident_45,0.0,0.0,0,no change
1266,b0ngl3t0pp3r,0.0,0.0,0,no change
1265,XRP_moonlanding,0.0,0.0,0,no change
1264,yuliedorado,0.0,0.0,0,no change
1262,roberto_santell,0.0,0.0,0,no change
1272,vlv814,0.0,0.0,0,no change
1261,DGDPurpleReign,0.0,0.0,0,no change
1260,jimmylegs14,0.0,0.0,0,no change
1259,DanielChgel,0.0,0.0,0,no change
1258,edwardo_davila,0.0,0.0,0,no change
1257,nomeeli,0.0,0.0,0,no change
1256,SoniCubed,0.0,0.0,0,no change
1255,need_unity,0.0,0.0,0,no change
1271,fvbirder,0.0,0.0,0,no change
1273,OzzieBarreto,0.0,0.0,0,no change
1253,Pmbavenir53,0.0,0.0,0,no change
1283,Redwwred,0.0,0.0,0,no change
1291,Rockenjud,0.0,0.0,0,no change
1290,maggiebattlesxo,0.0,0.0,0,no change
1289,trumpvidio,0.0,0.0,0,no change
1287,hugfluffy,0.0,0.0,0,no change
1286,LeesyleesyA,0.0,0.0,0,no change
1285,luciano49437290,0.0,0.0,0,no change
1284,ErnestoJBonilla,0.0,0.0,0,no change
1282,DonaldJTrumpJr,0.0,0.0,0,no change
1274,Pagnamf,0.0,0.0,0,no change
1281,MELANIATRUMP,0.0,0.0,0,no change
1280,raim_LOVEazuki7,0.0,0.0,0,no change
1279,Lawrenc9625674,0.0,0.0,0,no change
1278,Tiger202114,0.0,0.0,0,no change
1277,Viola66807504,0.0,0.0,0,no change
1276,franchrismaf,0.0,0.0,0,no change
1275,kellytang77,0.0,0.0,0,no change
1254,Sam95686993,0.0,0.0,0,no change
1252,LanzerMargit,0.0,0.0,0,no change
1011,LesterHoltNBC,0.0,0.0,0,no change
1223,plurry2,0.0,0.0,0,no change
1230,proud452,0.0,0.0,0,no change
1229,lucianaleandrol,0.0,0.0,0,no change
1228,donnajking5,0.0,0.0,0,no change
1227,Meditation1965_,0.0,0.0,0,no change
1226,lagosfinest,0.0,0.0,0,no change
1225,bigmomma453,0.0,0.0,0,no change
1224,AlexUsername4,0.0,0.0,0,no change
1222,LaDawnWeeks2,0.0,0.0,0,no change
1232,JanetPinnella,0.0,0.0,0,no change
1221,phr117,0.0,0.0,0,no change
1220,moeaz6,0.0,0.0,0,no change
1219,SharonFerrer19,0.0,0.0,0,no change
1218,dones65,0.0,0.0,0,no change
1217,Solomon07497901,0.0,0.0,0,no change
1216,HSG85777952,0.0,0.0,0,no change
1215,dszuster1,0.0,0.0,0,no change
1231,Ryan88333248,0.0,0.0,0,no change
1233,RafaelM84660386,0.0,0.0,0,no change
1251,MichaelSAdcock,0.0,0.0,0,no change
1243,Larryadam16,0.0,0.0,0,no change
1250,onuduoha,0.0,0.0,0,no change
1249,FlooritHammer,0.0,0.0,0,no change
