,to_user_type,from_user_type,to_user_bot_type,from_user_bot_type,canonical_url,date_published,domain,from_user_id,from_user_screen_name,id,is_mention,site_type,title,to_user_id,to_user_screen_name,tweet_created_at,tweet_id,tweet_type,url_id,site_domain,url_raw,original_query,from_user_botscore,to_user_botscore,tweet_url
20,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1343448444468342784,FangedTwo,2021-08-11T20:25:44.000Z,1425554043775057922,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.36,https://twitter.com/danny086756661/status/1425554043775057922
21,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,402031727,UbuntuForever,2021-08-11T20:25:21.000Z,1425553947863896068,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.27,https://twitter.com/danny086756661/status/1425553947863896068
22,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1146393838312992772,Carol64653456,2021-08-11T20:24:55.000Z,1425553837675352065,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.2,https://twitter.com/danny086756661/status/1425553837675352065
23,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,889650749793292289,imhopolitical,2021-08-11T20:24:37.000Z,1425553763410997252,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.77,https://twitter.com/danny086756661/status/1425553763410997252
24,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,160244947,lauferlaw,2021-08-11T20:24:37.000Z,1425553763410997252,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.27,https://twitter.com/danny086756661/status/1425553763410997252
25,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1349231361534676993,NorrinR06303580,2021-08-11T20:24:25.000Z,1425553713318436867,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.34,https://twitter.com/danny086756661/status/1425553713318436867
26,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1375319382662901763,pushing_0,2021-08-11T20:24:10.000Z,1425553652081594368,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.39,https://twitter.com/danny086756661/status/1425553652081594368
27,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,131045909,droykk,2021-08-11T20:26:55.000Z,1425554343848075266,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.19,https://twitter.com/danny086756661/status/1425554343848075266
28,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,22658326,viewsfordays,2021-08-11T20:23:26.000Z,1425553467196600324,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.94,https://twitter.com/danny086756661/status/1425553467196600324
29,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1328920515046608896,ElectPhoney,2021-08-17T20:12:29.000Z,1427725037923049475,retweet,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.39,https://twitter.com/danny086756661/status/1427725037923049475
30,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,712506855344381952,whydidicomeback,2021-08-17T05:32:06.000Z,1427503480458022913,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.03,https://twitter.com/danny086756661/status/1427503480458022913
31,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1239656978495856641,CMOH_Alberta,2021-08-17T05:32:06.000Z,1427503480458022913,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.79,https://twitter.com/danny086756661/status/1427503480458022913
32,bot,bot,other,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,820452522494226433,DrTomFrieden,2021-08-17T05:20:18.000Z,1427500511964516355,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.41,https://twitter.com/danny086756661/status/1427500511964516355
36,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,17870112,katspjz,2021-08-17T05:20:18.000Z,1427500511964516355,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.1,https://twitter.com/danny086756661/status/1427500511964516355
37,bot,bot,other,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,17383018,absolute_phil,2021-08-17T05:20:18.000Z,1427500511964516355,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.06,https://twitter.com/danny086756661/status/1427500511964516355
38,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,799017931904524288,AttiMagyar,2021-08-22T03:10:13.000Z,1429279716490366985,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.06,https://twitter.com/danny086756661/status/1429279716490366985
39,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,40839395,sinfoid,2021-08-22T03:10:13.000Z,1429279716490366985,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.19,https://twitter.com/danny086756661/status/1429279716490366985
40,bot,bot,other,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,252794509,picardonhealth,2021-08-22T03:10:13.000Z,1429279716490366985,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.48,https://twitter.com/danny086756661/status/1429279716490366985
42,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,17682394,petemcmartin,2021-08-22T03:10:13.000Z,1429279716490366985,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.857202,https://twitter.com/danny086756661/status/1429279716490366985
44,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,12089642,VancouverSun,2021-08-22T03:10:13.000Z,1429279716490366985,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.79,https://twitter.com/danny086756661/status/1429279716490366985
46,bot,bot,other,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1352229249441214464,SteveWi60622710,2021-08-22T03:09:18.000Z,1429279485656920068,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.37,https://twitter.com/danny086756661/status/1429279485656920068
47,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,299273962,Laurie_Garrett,2021-08-21T13:00:39.000Z,1429065916436738053,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.27,https://twitter.com/danny086756661/status/1429065916436738053
48,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1305683441640501250,mushinghuskies,2021-08-21T13:00:39.000Z,1429065916436738053,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.37,https://twitter.com/danny086756661/status/1429065916436738053
49,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1290017881,queensnycfrank,2021-08-21T13:00:39.000Z,1429065916436738053,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.24,https://twitter.com/danny086756661/status/1429065916436738053
50,bot,bot,self_declared,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,22914787,shanny2137,2021-07-21T15:29:14.000Z,1417869284412329991,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.04,https://twitter.com/danny086756661/status/1417869284412329991
51,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,15012486,CBSNews,2021-07-21T15:29:14.000Z,1417869284412329991,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.57,https://twitter.com/danny086756661/status/1417869284412329991
57,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,54295198,weplaywithtoys,2021-07-21T15:24:57.000Z,1417868206153232386,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.62,https://twitter.com/danny086756661/status/1417868206153232386
58,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1288150515310833670,BeverlyFoy6,2021-07-21T15:24:37.000Z,1417868119855407110,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.26,https://twitter.com/danny086756661/status/1417868119855407110
59,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,164921408,stefcyclops,2021-07-21T14:56:28.000Z,1417861038859460619,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.06,https://twitter.com/danny086756661/status/1417861038859460619
60,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,833598289,gilsdesk,2021-07-21T14:56:10.000Z,1417860960895729670,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.03,https://twitter.com/danny086756661/status/1417860960895729670
61,bot,bot,private_account,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,1264545240414687232,Corona_SSYT,2021-07-21T14:56:10.000Z,1417860960895729670,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.51,https://twitter.com/danny086756661/status/1417860960895729670
63,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,57441414,ZubyMusic,2021-07-21T14:15:56.000Z,1417850837410271234,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.28,https://twitter.com/danny086756661/status/1417850837410271234
64,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,14432405,JJDigby85,2021-07-21T14:15:56.000Z,1417850837410271234,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.05,https://twitter.com/danny086756661/status/1417850837410271234
65,bot,bot,other,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,980135068755783680,ulfsark9,2021-07-21T14:15:56.000Z,1417850837410271234,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.03,https://twitter.com/danny086756661/status/1417850837410271234
66,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,True,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,18982486,citynewscalgary,2021-07-22T21:03:34.000Z,1418315809521168386,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.31,https://twitter.com/danny086756661/status/1418315809521168386
67,bot,bot,spammer,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,759251,CNN,2021-07-22T20:44:46.000Z,1418311075561295873,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.76,https://twitter.com/danny086756661/status/1418311075561295873
69,human,bot,,spammer,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,2021-05-14T14:14:47.796Z,thehighwire.com,1409535915752443910,danny086756661,2421672,False,claim,IN REMEMBRANCE: VICTIMS OF THE COVID VACCINE,593289567,PeterHotez,2021-07-22T20:23:22.000Z,1418305690016251910,reply,299197172,thehighwire.com,https://thehighwire.com/videos/in-remembrance-victims-of-the-covid-vaccine/,query=covid%20vaccine%20is%20not%20safe&sort=relevant&type=Hoaxy&lang=,0.47,0.24,https://twitter.com/danny086756661/status/1418305690016251910
